@relation Vweek_noid_In2_clustered

@attribute Instance_number numeric
@attribute in0 numeric
@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute in5 numeric
@attribute in6 numeric
@attribute in7 numeric
@attribute in8 numeric
@attribute in9 numeric
@attribute in10 numeric
@attribute in11 numeric
@attribute in12 numeric
@attribute in13 numeric
@attribute in14 numeric
@attribute in15 numeric
@attribute in16 numeric
@attribute in17 numeric
@attribute in18 numeric
@attribute in19 numeric
@attribute in20 numeric
@attribute in21 numeric
@attribute in22 numeric
@attribute in23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
102,0.033613,0.638655,0.336134,0.268908,0.285714,0.369748,0.521008,0.588235,0.554622,0.655462,0.823529,0.571429,0.386555,0.605042,0.436975,0.588235,0.470588,0.571429,0.218487,0.436975,0.302521,0.033613,0.235294,0.067227,cluster2
103,0.134028,0.372301,0.469099,0.335071,0.573343,0.536113,0.364855,0.387193,0.387193,0.402085,0.439315,0.469099,0.439315,0.446761,0.446761,0.469099,0.349963,0.595681,0.454207,0.476545,0.461653,0.297841,0.394639,0.297841,cluster5
104,0.258824,0.729412,0.352941,0.188235,0.352941,0.305882,0.305882,0.588235,0.282353,0.564706,0.423529,0.4,0.258824,0.447059,0.376471,0.541176,0.658824,0.352941,0.588235,0.352941,0.494118,0.329412,0.305882,0.541176,cluster5
105,0.625,0.668103,0.463362,0.409483,0.334052,0.431034,0.323276,0.377155,0.301724,0.366379,0.3125,0.387931,0.355603,0.269397,0.3125,0.237069,0.474138,0.398707,0.463362,0.387931,0.668103,0.344828,0.625,0.463362,cluster5
106,0.258065,0.709677,0.387097,0.064516,0.258065,0.709677,0.645161,0.258065,0.580645,0.387097,0.580645,0,0.387097,0.903226,0.258065,0.451613,0.258065,0.709677,0.451613,0.580645,0.322581,0.516129,0.064516,0.258065,cluster2
107,0.160256,0.096154,0.128205,0.128205,0.336538,0.36859,0.480769,0.384615,0.496795,0.336538,0.576923,0.705128,0.432692,0.673077,0.945513,0.512821,0.528846,0.400641,0.464744,0.36859,0.737179,0.272436,0.25641,0.208333,cluster2
108,0.152505,0.43573,0.762527,0.479303,0.588235,0.522876,0.217865,0.479303,0.522876,0.348584,0.326797,0.631808,0.501089,0.479303,0.305011,0.566449,0.305011,0.457516,0.544662,0.261438,0.326797,0.348584,0.261438,0.174292,cluster2
109,0.808625,0.525606,0.188679,0.229111,0.269542,0.390836,0.404313,0.336927,0.363881,0.444744,0.309973,0.283019,0.390836,0.202156,0.363881,0.336927,0.32345,0.336927,0.525606,0.471698,0.619946,0.673854,0.687332,0.512129,cluster5
110,0.345438,0.336581,0.274579,0.451727,0.372011,0.398583,0.469442,0.354296,0.469442,0.496014,0.44287,0.389725,0.434012,0.354296,0.593446,0.44287,0.451727,0.416298,0.44287,0.398583,0.301151,0.469442,0.496014,0.398583,cluster5
111,0.226757,0.816327,0.748299,0.515873,0.493197,0.47619,0.481859,0.37415,0.442177,0.447846,0.402494,0.289116,0.391156,0.42517,0.294785,0.277778,0.379819,0.379819,0.442177,0.436508,0.300454,0.362812,0.362812,0.232426,cluster5
112,0.202605,0.795948,0.694645,0.448625,0.549928,0.332851,0.332851,0.448625,0.390738,0.361795,0.361795,0.24602,0.274964,0.434153,0.636758,0.535456,0.549928,0.274964,0.419682,0.260492,0.40521,0.419682,0.332851,0.289436,cluster5
113,0.714286,0.361446,0.232358,0.404475,0.395869,0.35284,0.387263,0.344234,0.361446,0.275387,0.378657,0.301205,0.335628,0.335628,0.447504,0.309811,0.387263,0.421687,0.654045,0.370052,0.473322,0.662651,0.611015,0.481928,cluster5
114,0.32967,0.384615,0.384615,0.274725,0.10989,0.604396,0.43956,0.274725,0.10989,0.494505,0.659341,0.274725,0.274725,0.714286,0.494505,0.604396,0.549451,0.769231,0.10989,0.384615,0.604396,0.274725,0.32967,0.549451,cluster2
115,0.049423,0.444811,0.29654,0.477759,0.197694,0.313015,0.494234,0.378913,0.378913,0.560132,0.675453,0.395387,0.411862,0.510708,0.691928,0.247117,0.345964,0.593081,0.593081,0.461285,0.395387,0.62603,0.329489,0.131796,cluster2
116,2.542373,0.169492,0,0.169492,0.508475,0.169492,0,0.508475,0.508475,0.338983,0.169492,0.847458,0.847458,0.508475,0,0.847458,0.508475,0,0.169492,0.169492,0.338983,0,0.169492,0.508475,cluster4
117,0.045317,0.151057,0.166163,0.302115,0.468278,0.362538,0.468278,0.166163,0.528701,0.619335,0.407855,0.498489,0.574018,0.483384,0.619335,0.483384,0.800604,0.800604,0.619335,0.755287,0.181269,0.271903,0.135952,0.090634,cluster2
118,0.113422,0.359168,0.529301,0.548204,0.47259,0.699433,0.548204,0.510397,0.453686,0.510397,0.453686,0.302457,0.529301,0.491493,0.378072,0.359168,0.586011,0.396975,0.396975,0.491493,0.359168,0.283554,0.151229,0.075614,cluster2
119,1.230159,0.396825,0.119048,0.31746,0.357143,0.079365,0.198413,0.31746,0.357143,0.31746,0.277778,0.277778,0.357143,0.238095,0.277778,0.277778,0.714286,0.595238,0.515873,0.396825,0.47619,0.277778,0.753968,0.873016,cluster5
120,0.37037,0.537037,0.240741,0.296296,0.37037,0.333333,0.425926,0.574074,0.537037,0.351852,0.333333,0.611111,0.388889,0.5,0.481481,0.407407,0.555556,0.685185,0.518519,0.388889,0.222222,0.259259,0.185185,0.425926,cluster5
121,0.296736,0.504451,0.237389,0.682493,0.445104,0.267062,0.474777,0.712166,0.326409,0.207715,0.385757,0.445104,0.356083,0.445104,0.563798,0.296736,0.326409,0.385757,0.504451,0.326409,0.41543,0.623145,0.504451,0.267062,cluster5
122,0.540541,0.337838,0.202703,0.472973,0.472973,0.27027,0.540541,0.337838,0.743243,0.337838,0.608108,0.202703,0.27027,0.337838,0.27027,0.27027,0.202703,0.540541,0.472973,0.743243,0.675676,0.405405,0.202703,0.540541,cluster5
123,0.368664,0.276498,0.737327,0.460829,0.599078,0.138249,0.322581,0.414747,0.368664,0.368664,0.460829,0.138249,0.414747,0.184332,0.276498,0.506912,0.506912,0.414747,0.414747,0.230415,0.78341,0.599078,0.460829,0.552995,cluster5
124,1.142857,0.142857,0.285714,0.714286,0.142857,0.428571,0,0.428571,0.428571,0,0.142857,0,0.142857,0.142857,0.571429,0.428571,1,0.285714,0.285714,0.714286,0.714286,0.571429,0.428571,0.857143,cluster5
125,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
126,0.062305,0.404984,0.249221,0.311526,0.404984,0.093458,0.311526,0.560748,0.311526,0.404984,0.529595,0.872274,0.623053,0.685358,0.436137,0.186916,0.46729,1.152648,0.373832,0.311526,0.280374,0.342679,0.46729,0.155763,cluster2
127,0.060241,0.180723,0.301205,0.722892,0.722892,0.361446,0.301205,0.60241,0.60241,0.301205,0.180723,0.421687,0.301205,0.240964,0.421687,0.421687,0.722892,0.361446,0.60241,0.421687,0.361446,0.180723,0.843373,0.361446,cluster5
128,0.722892,1.204819,0.281124,0.261044,0.301205,0.421687,0.461847,0.321285,0.301205,0.321285,0.220884,0.321285,0.240964,0.321285,0.220884,0.401606,0.180723,0.421687,0.341365,0.381526,0.522088,0.742972,0.62249,0.461847,cluster5
129,0.11846,0.523198,0.908193,0.720632,0.868707,0.671273,0.562685,0.345508,0.375123,0.35538,0.315893,0.404738,0.404738,0.35538,0.315893,0.41461,0.424482,0.720632,0.325765,0.128332,0.23692,0.11846,0.23692,0.148075,cluster2
130,0.463108,0.32967,0.525903,0.588697,0.32967,0.376766,0.259027,0.392465,0.44741,0.266876,0.361068,0.384615,0.32967,0.282575,0.266876,0.43956,0.431711,0.533752,0.478807,0.384615,0.44741,0.525903,0.510204,0.643642,cluster5
131,0.555556,0.486111,0.694444,0.208333,0.347222,0.416667,0.347222,0.138889,0.486111,0.486111,0.277778,0.069444,0.416667,0.416667,0.416667,0.486111,0.069444,0.555556,0.486111,0.138889,0.972222,0.902778,0.208333,0.416667,cluster5
132,0.051546,0.360825,0.773196,0.56701,0.721649,0.515464,0.670103,0.360825,0.670103,0.309278,0.670103,0.309278,0.412371,0.515464,0.515464,0.051546,0.670103,0.463918,0.257732,0.515464,0.206186,0.309278,0.051546,0.051546,cluster2
133,0.2,0.4,0.6,0.45,0.3,0.45,0.45,0.65,0.35,0.5,0.4,0.35,0.55,0.4,0.3,0.35,0.75,0.3,0.35,0.35,0.25,0.25,0.9,0.15,cluster5
134,0.118577,0.513834,0.731225,0.355731,0.474308,0.750988,0.454545,0.41502,0.355731,0.55336,0.592885,0.375494,0.474308,0.533597,0.652174,0.335968,0.237154,0.474308,0.513834,0.494071,0.158103,0.197628,0.098814,0.13834,cluster2
135,0.082645,0.188902,0.212515,0.354191,0.448642,0.484061,0.413223,0.613932,0.472255,0.755608,0.495868,0.649351,0.991736,0.637544,0.543093,0.566706,0.696576,0.448642,0.247934,0.141677,0.188902,0.141677,0.177096,0.047226,cluster2
136,0.822511,0.627706,0.497835,0.606061,0.324675,0.238095,0.324675,0.4329,0.47619,0.497835,0.25974,0.411255,0.367965,0.541126,0.281385,0.25974,0.30303,0.454545,0.38961,0.38961,0.30303,0.25974,0.4329,0.497835,cluster5
137,0.230126,1.004184,0.8159,0.648536,0.439331,0.732218,0.41841,0.376569,0.230126,0.39749,0.376569,0.502092,0.39749,0.376569,0.481172,0.39749,0.292887,0.41841,0.251046,0.334728,0.292887,0.251046,0.083682,0.251046,cluster2
138,0.686275,0.460784,0.343137,0.372549,0.323529,0.294118,0.421569,0.352941,0.460784,0.323529,0.382353,0.382353,0.392157,0.323529,0.313725,0.401961,0.382353,0.352941,0.323529,0.372549,0.5,0.470588,0.696078,0.666667,cluster5
139,0.470085,0.17094,0.299145,0.683761,0.34188,0.470085,0.641026,0.34188,0.512821,0.598291,0.42735,0.25641,0.213675,0.299145,0.299145,0.213675,0.512821,0.17094,0.641026,0.470085,0.470085,0.512821,0.512821,0.470085,cluster5
140,0.904419,0.349435,0.32888,0.267215,0.28777,0.390545,0.267215,0.298047,0.400822,0.359712,0.380267,0.298047,0.308325,0.267215,0.226105,0.4111,0.431655,0.236382,0.431655,0.441932,0.503597,0.61665,0.61665,0.976362,cluster5
141,1.02381,0.52381,0.142857,0.285714,0.357143,0.261905,0.142857,0.190476,0.261905,0.428571,0.428571,0.333333,0.404762,0.238095,0.166667,0.166667,0.309524,0.261905,0.357143,0.380952,0.571429,0.690476,0.952381,1.119048,cluster5
142,0.621806,0.28109,0.477002,0.383305,0.383305,0.332198,0.366269,0.357751,0.255537,0.391823,0.502555,0.340716,0.383305,0.391823,0.255537,0.366269,0.340716,0.425894,0.408859,0.332198,0.570698,0.60477,0.60477,0.621806,cluster5
143,0,2,1,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,cluster1
144,0.436137,0.373832,0.716511,0.342679,0.249221,0.716511,0.249221,0.498442,0.373832,0.498442,0.560748,0.654206,0.342679,0.654206,0.280374,0.498442,0.404984,0.186916,0.342679,0.218069,0.404984,0.436137,0.311526,0.249221,cluster2
145,0.338983,0,0.508475,0.169492,0.338983,0.169492,1.864407,0.677966,1.016949,0,0.508475,0.508475,0,0.677966,0.847458,0.677966,0.847458,0,0.169492,0,0.169492,0.169492,0.169492,0.169492,cluster2
146,0.218801,0.34846,0.380875,0.437601,0.372771,0.599676,0.429498,0.494327,0.534846,0.551053,0.397083,0.47812,0.486224,0.388979,0.591572,0.54295,0.486224,0.47812,0.324149,0.380875,0.332253,0.251216,0.210697,0.28363,cluster2
147,0.560928,0.290135,0.193424,0.116054,0.40619,0.32882,0.309478,0.444874,0.290135,0.32882,0.40619,0.367505,0.270793,0.40619,0.386847,0.32882,0.40619,0.599613,0.580271,0.638298,0.599613,0.638298,0.502901,0.599613,cluster5
148,0,0.588235,0.588235,0.588235,0.588235,0.588235,0,0.588235,0,0.588235,1.764706,0.588235,0.588235,0.588235,0,0,0,1.764706,0,0,0,0,0.588235,0,cluster4
149,1.910112,0.224719,0.786517,0.786517,0.561798,0.224719,0.224719,0.11236,0.224719,0.224719,0.449438,0.11236,0.224719,0.449438,0.224719,0,0.224719,0.337079,0.449438,0.224719,1.011236,0.224719,0.449438,0.337079,cluster5
150,0.779221,0.649351,0.38961,0.519481,0.519481,0.779221,0.12987,0.12987,0.25974,0,0.779221,0.909091,0.12987,0.779221,0.779221,0.12987,0.649351,0.25974,0.12987,0.25974,0,0.12987,0.25974,0.649351,cluster2
151,1,0,0.142857,0.428571,0.285714,0.571429,0.571429,0.285714,0.142857,0.142857,0.714286,0.571429,0.428571,0.142857,0.285714,0,0.142857,0.142857,0.571429,0.714286,0.142857,0.714286,1,0.857143,cluster5
152,0.288889,0.288889,0.422222,0.266667,0.311111,0.133333,0.466667,0.6,0.155556,0.311111,0.533333,0.333333,0.533333,0.533333,0.4,0.288889,0.444444,0.355556,0.577778,0.555556,0.888889,0.488889,0.422222,0.4,cluster5
153,0,0.483871,1.075269,0.591398,0.376344,0.430108,0.268817,0.430108,0.430108,0.376344,0.376344,0.591398,0.268817,0.215054,0.645161,0.322581,0.698925,0.376344,0.591398,0.215054,0.268817,0.483871,0.268817,0.215054,cluster2
154,0.344828,1.034483,0.229885,0.229885,0,0.45977,0.229885,0,0.344828,0.114943,0.344828,0.229885,0.344828,0.229885,0.229885,0.344828,1.149425,0.229885,0.689655,1.149425,0.574713,0.229885,0.804598,0.45977,cluster5
155,0.681431,0.221465,0.272572,0.391823,0.391823,0.306644,0.425894,0.340716,0.374787,0.425894,0.170358,0.357751,0.340716,0.391823,0.545145,0.340716,0.494037,0.511073,0.494037,0.630324,0.255537,0.44293,0.579216,0.613288,cluster5
156,0.64,0.16,0.4,0.08,0.4,0.32,0.24,0.48,0.48,0.16,0.64,0.48,0.32,0.72,0.32,0.48,0.16,0.24,0.32,0.64,0.48,0.72,0.32,0.8,cluster5
157,0,4.492754,0.869565,0.289855,0.869565,0.289855,0.144928,0.144928,0.289855,0.144928,0.144928,0.144928,0.289855,0,0.144928,0.144928,0.57971,0.144928,0,0.144928,0.289855,0.144928,0.144928,0.144928,cluster3
158,0.340909,1.022727,0.568182,0.454545,0.511364,0.738636,0.340909,0.340909,0.511364,0.056818,0.340909,0.454545,0.454545,0.511364,0.568182,0.681818,0.113636,0.511364,0.227273,0.227273,0.284091,0.227273,0.340909,0.170455,cluster2
159,0.185185,0.092593,0.925926,0.277778,0.555556,0.185185,0.37037,0.185185,0.555556,0.277778,0.648148,0.37037,0.37037,1.111111,0.462963,0.555556,0.555556,0.37037,0.555556,0.555556,0.185185,0,0.185185,0.462963,cluster2
160,0,0.375,0.75,1.125,0,0.75,0.25,0.25,0.625,0.5,0.375,0.75,0.625,0.5,0.5,0.375,0.375,0.125,0.25,0.75,0.25,0.125,0.375,0,cluster2
161,0.055831,0.093052,0.30397,0.310174,0.42804,0.44665,0.558313,0.60794,0.688586,0.514888,0.502481,0.527295,0.738213,0.645161,0.583127,0.620347,0.514888,0.452854,0.390819,0.434243,0.30397,0.186104,0.068238,0.024814,cluster2
162,0.041812,0.146341,0.174216,0.362369,0.271777,0.376307,0.445993,0.334495,0.487805,0.801394,0.71777,0.641115,0.919861,0.634146,0.682927,0.522648,0.585366,0.452962,0.250871,0.425087,0.278746,0.236934,0.125436,0.083624,cluster2
163,0.505051,0.40404,0.20202,0.10101,0.40404,0.20202,0.30303,0.30303,0.606061,0.606061,0.30303,0.10101,0.808081,0.505051,0.40404,0.606061,0.606061,0.40404,1.010101,0.606061,0.40404,0,0,0.606061,cluster2
164,0.047244,0.393701,0.409449,0.204724,0.267717,0.393701,0.393701,0.377953,0.614173,0.755906,0.645669,0.598425,0.629921,0.393701,0.456693,0.629921,0.503937,0.251969,0.456693,0.330709,0.409449,0.377953,0.220472,0.23622,cluster2
165,0.725806,0,0.645161,0.16129,0.403226,0.322581,0.16129,0.16129,0.16129,0.322581,0.483871,0.887097,0.725806,0.241935,0.322581,0.241935,0.241935,0.483871,0.725806,0.403226,0.483871,0.16129,0.645161,0.887097,cluster5
166,1.201923,0.144231,0.048077,0.192308,0.240385,0.336538,0.384615,0.240385,0.336538,0.480769,0.480769,0.480769,0.432692,0.384615,0.384615,0.192308,0.528846,0.625,0.625,0.576923,0.384615,0.480769,0.336538,0.480769,cluster5
167,0.38835,0.097087,0.38835,0.097087,0.097087,0.194175,0.38835,0.582524,0.291262,0.38835,0.291262,1.165049,0.097087,0.485437,0,0.679612,0.776699,0.776699,0.194175,0.873786,0.194175,0.679612,0.291262,0.582524,cluster2
168,0.952381,0.47619,0.952381,1.904762,0,0.47619,0.47619,0.952381,0,0.952381,0.47619,0,0,0,0,0.47619,0,0,0.47619,0.47619,0.47619,0,0.47619,0,cluster4
169,0.326797,0.457516,0.196078,0.588235,0.326797,0.980392,0.522876,0.588235,0.522876,0.653595,0.522876,0.392157,0.326797,0.522876,0.326797,0.457516,0.261438,0.196078,0.588235,0.522876,0.261438,0.130719,0.065359,0.261438,cluster2
170,0.680272,1.020408,0.47619,0.340136,0.204082,0.272109,0.272109,0.204082,0.204082,0.204082,0.408163,0.748299,0.408163,0.204082,0.408163,0.612245,0.340136,0.204082,0.47619,0.408163,0.408163,0.340136,0.612245,0.544218,cluster5
171,0.03413,0.153584,0.196246,0.24744,0.307167,0.332765,0.469283,0.332765,0.435154,0.622867,0.588737,0.554608,0.733788,0.460751,0.520478,0.691126,0.767918,0.418089,0.537543,0.366894,0.52901,0.375427,0.273038,0.051195,cluster2
172,0,0,0,0.909091,0,0.909091,0.909091,0,0,1.818182,0,1.818182,0.909091,0,0.909091,0,0.909091,0,0,0,0,0,0.909091,0,cluster4
173,0.638298,0.425532,0.638298,0.638298,0,0.638298,0.425532,0.638298,0.212766,0.425532,1.489362,0,0.425532,0,0.425532,0.425532,0.425532,1.06383,0.212766,0.425532,0.212766,0,0.212766,0,cluster2
174,0.625,0.625,0.46875,0.15625,0.15625,0.78125,0.3125,0.234375,0.390625,0.078125,0.46875,0.390625,0.46875,0.546875,0.390625,0.703125,0.546875,0.15625,0.3125,0.390625,0.625,0.3125,0.46875,0.390625,cluster5
175,0.105263,1.052632,1.578947,1.263158,0.736842,0.842105,0.526316,0.105263,0.105263,0.526316,0.105263,0.421053,0.421053,0.105263,0,0.210526,0.210526,0.315789,0.210526,0.421053,0.315789,0.210526,0.105263,0.105263,cluster2
176,0.614035,0.584795,0.380117,0.380117,0.438596,0.292398,0.555556,0.467836,0.643275,0.555556,0.292398,0.409357,0.409357,0.643275,0.350877,0.409357,0.233918,0.321637,0.350877,0.204678,0.233918,0.292398,0.380117,0.555556,cluster5
177,0.487805,0.365854,0.487805,0.304878,0.365854,0.670732,0.304878,0.731707,0.670732,0.304878,0.54878,0.487805,0.609756,0.304878,0.243902,0.182927,0.304878,0.243902,0.54878,0.487805,0.609756,0.365854,0.060976,0.304878,cluster5
178,0.552017,0.59448,0.488323,0.318471,0.318471,0.276008,0.339703,0.360934,0.424628,0.254777,0.339703,0.339703,0.44586,0.403397,0.360934,0.44586,0.276008,0.424628,0.530786,0.658174,0.318471,0.509554,0.424628,0.59448,cluster5
179,0.253623,0.76087,0.434783,0.326087,0.471014,0.398551,0.543478,0.289855,0.543478,0.434783,0.217391,0.253623,0.326087,0.398551,0.543478,0.253623,0.326087,0.398551,1.014493,0.362319,0.362319,0.543478,0.181159,0.362319,cluster5
180,0.35503,0.769231,0.414201,0.473373,0.236686,0.710059,0.591716,0.591716,0.473373,0.591716,0.35503,0.414201,0.177515,0.591716,0.532544,0.35503,0.473373,0.177515,0.295858,0.295858,0.118343,0.414201,0.295858,0.295858,cluster2
181,0,0.103093,0.206186,0.103093,0.103093,0.360825,0.412371,0.515464,0.515464,0.463918,0.876289,0.773196,0.824742,0.670103,0.773196,0.515464,0.670103,0.927835,0.206186,0.618557,0.154639,0.154639,0,0.051546,cluster2
182,0,0.347222,0.138889,0.555556,0.277778,0.694444,0.347222,0,0.416667,0.277778,0.833333,0.486111,0.277778,1.319444,0.694444,0.625,0.416667,0.347222,0.625,0.138889,0.277778,0.555556,0.138889,0.208333,cluster2
183,0.185185,0.092593,0.092593,0.185185,0.185185,0.185185,0.37037,0.462963,0.462963,0.740741,0.833333,0.277778,0.833333,1.203704,0.277778,0.648148,0.740741,0.648148,0.37037,0.37037,0.462963,0.185185,0,0.185185,cluster2
184,0.117647,0.235294,0.117647,0,0.588235,0.470588,0,0.705882,0.588235,0.941176,0.117647,0.588235,0.823529,0.235294,0.117647,0.588235,0.352941,0.705882,0.235294,0.588235,0.470588,0.352941,0.588235,0.470588,cluster2
185,0.235043,0.705128,0.619658,0.42735,0.491453,0.42735,0.491453,0.320513,0.576923,0.25641,0.448718,0.448718,0.42735,0.405983,0.320513,0.299145,0.534188,0.277778,0.512821,0.405983,0.405983,0.491453,0.149573,0.320513,cluster5
186,0.327869,0.491803,0.163934,0.163934,0.655738,0.491803,0.983607,0.327869,0.327869,0.327869,0.327869,0.327869,0.163934,0.327869,0.327869,1.147541,0.491803,0.491803,0.655738,0.491803,0.163934,0.491803,0,0.327869,cluster2
187,0,0,0,1.666667,1.25,0,0,0.416667,0.416667,0,0,0,0.833333,1.25,1.25,0.833333,0,0.833333,0,0.833333,0,0,0,0.416667,cluster0
188,0.12987,0.519481,0.12987,0.38961,0.909091,0.649351,0.12987,0.519481,0.25974,0.25974,0.38961,0.519481,0.38961,0.38961,0.25974,0.519481,0.649351,0,0,0.38961,0.519481,0.779221,0.649351,0.649351,cluster5
189,0.319149,0.106383,0.319149,0.638298,0.531915,0,0.106383,0.212766,0.106383,0.212766,0.319149,0.638298,0.957447,0.425532,0.957447,0,0.531915,0.744681,0.638298,0.425532,0.212766,0.319149,0.319149,0.957447,cluster5
190,0.334646,0.531496,0.452756,0.393701,0.413386,0.374016,0.452756,0.413386,0.649606,0.472441,0.216535,0.413386,0.255906,0.334646,0.492126,0.433071,0.669291,0.472441,0.216535,0.314961,0.393701,0.452756,0.393701,0.452756,cluster5
191,0.106525,0.492676,0.332889,0.705726,0.386152,0.466045,0.545939,0.45273,0.545939,0.479361,0.346205,0.412783,0.479361,0.426099,0.399467,0.532623,0.439414,0.226365,0.466045,0.426099,0.426099,0.319574,0.372836,0.213049,cluster2
192,0.357782,0.49195,0.313059,0.348837,0.384615,0.411449,0.465116,0.411449,0.402504,0.447227,0.447227,0.420394,0.313059,0.330948,0.384615,0.420394,0.509839,0.608229,0.375671,0.536673,0.447227,0.366726,0.357782,0.447227,cluster5
193,0.722892,0.120482,0.120482,0.240964,0.120482,0.240964,0.240964,0.361446,0.361446,0.481928,0,0.481928,0.722892,0.240964,0.843373,0.481928,0.361446,0.481928,0.963855,0.361446,0.60241,0.722892,0.481928,0.240964,cluster5
194,1.212121,0.30303,0,0.454545,0.151515,0,0,0.454545,0.30303,0,0.454545,0,0,0.30303,0.151515,0.606061,0.606061,0.606061,0.606061,0.606061,1.212121,0.909091,0.151515,0.909091,cluster5
195,1.030928,0.206186,0.103093,0.206186,0.309278,0,0.103093,0.309278,0.309278,0.618557,0.206186,0.618557,0.103093,0.206186,0.309278,0.618557,0.618557,0.412371,0.103093,0.721649,0.206186,0.927835,1.237113,0.515464,cluster5
196,0.078936,0.186955,0.236809,0.353137,0.378064,0.407146,0.4113,0.519319,0.427919,0.560864,0.5484,0.540091,0.656419,0.714582,0.51101,0.577482,0.527628,0.519319,0.415455,0.51101,0.353137,0.207727,0.195264,0.162027,cluster2
197,0.609756,0.365854,0.609756,0.243902,0.365854,0.365854,0.243902,0.243902,0.731707,0.97561,0.97561,0.121951,0.365854,0.487805,0.365854,0.243902,0.243902,1.097561,0.365854,0.121951,0.365854,0.365854,0,0.121951,cluster2
198,0.690399,0.474649,0.409924,0.30205,0.377562,0.409924,0.442287,0.3452,0.377562,0.420712,0.269687,0.269687,0.334412,0.442287,0.409924,0.334412,0.442287,0.355987,0.463862,0.496224,0.507012,0.420712,0.571737,0.431499,cluster5
199,0.309278,0.309278,0.309278,0.412371,0.206186,0.206186,0.515464,0.103093,0.206186,0.412371,0.309278,0.412371,0.515464,0.721649,0.412371,0.721649,0.412371,0.309278,0.309278,0.618557,0.103093,0.618557,0.824742,0.721649,cluster5
200,0,0,1.111111,0.493827,0.246914,0.617284,0.740741,0,0.740741,0.123457,0.740741,0.617284,0.123457,0.493827,0.617284,0.493827,0.37037,0.493827,1.234568,0.246914,0.246914,0.123457,0.123457,0,cluster2
201,0.626003,0.5939,0.256822,0.46549,0.609952,0.256822,0.401284,0.385233,0.449438,0.272873,0.529695,0.5939,0.449438,0.545746,0.35313,0.272873,0.256822,0.369181,0.288925,0.385233,0.35313,0.417335,0.417335,0.449438,cluster5
202,0.641026,0.512821,0.128205,0.128205,0.25641,0.128205,0.25641,0.128205,0.25641,0.897436,0,0.384615,0.128205,0.25641,0.25641,0.128205,0.769231,0.897436,0.769231,0.769231,0.384615,0.384615,1.025641,0.512821,cluster5
203,0,0,0,0,1.428571,0,0,1.428571,0,0,0,1.428571,0,0,1.428571,2.857143,0,1.428571,0,0,0,0,0,0,cluster0
204,0.16129,0,0.645161,0.322581,0.645161,0.645161,0,0.322581,0.483871,0.16129,0.483871,0.483871,0.16129,0.322581,1.451613,0.322581,0.322581,0.483871,0,0.645161,0.16129,0.483871,0.967742,0.322581,cluster2
205,0.872093,0.476744,0.27907,0.511628,0.406977,0.383721,0.488372,0.430233,0.313953,0.244186,0.27907,0.313953,0.348837,0.337209,0.337209,0.337209,0.232558,0.244186,0.348837,0.360465,0.523256,0.627907,0.627907,0.674419,cluster5
206,1.111111,0.444444,0.444444,0.222222,0.222222,0,0.444444,0,0.666667,0.222222,0,1.333333,0.444444,0.444444,0,0,0.444444,0.222222,0.666667,0.444444,0.222222,0.444444,0.666667,0.888889,cluster5
207,0.363636,0.363636,1.272727,0.181818,0.363636,0,0.545455,0.909091,0,0.181818,0.181818,0.181818,0.363636,0.181818,0.545455,0,0.363636,0.181818,0.909091,0.545455,0.363636,0.727273,1.090909,0.181818,cluster2
208,1.517857,0.267857,0.446429,0.178571,0.089286,0.089286,0.089286,0.178571,0.267857,0.803571,0.446429,0.267857,0.178571,0.357143,0.178571,0.178571,0.446429,0.089286,0.625,0.714286,0.625,0.714286,0.803571,0.446429,cluster5
209,0.163934,0.491803,0.655738,0.983607,0.327869,0.163934,0.819672,0.819672,0.491803,0.327869,0,0.327869,0.163934,0.163934,0.983607,0.327869,0.163934,0.819672,0.327869,0.163934,0,0.491803,0.819672,0,cluster2
210,0,0.454545,0,0.454545,0.454545,0.454545,0.454545,0,1.363636,0,0.454545,0,0.909091,0,1.818182,0.454545,1.363636,0,0.454545,0,0,0,0.909091,0,cluster4
211,0,0,0.263158,0,0.526316,0,0.263158,0.526316,0.789474,0.526316,0.789474,0.789474,0.526316,0.263158,0.789474,2.105263,1.052632,0.526316,0,0,0,0,0,0.263158,cluster4
212,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,3,1,0,0,0,cluster4
213,0,0,0,0,0,0,0,1.428571,0,0,0,2.857143,0,1.428571,0,0,1.428571,0,0,0,2.857143,0,0,0,cluster4
214,0.088496,0,0.619469,0.176991,0.530973,0.353982,0.442478,0.442478,0.176991,0.442478,0.619469,0.79646,0.442478,0.973451,0.619469,0.530973,1.061947,0.176991,0.707965,0.265487,0,0.088496,0.265487,0.176991,cluster2
215,0,0,1.111111,0,0,0,0,1.111111,0,1.111111,0,1.111111,0,1.111111,0,0,0,0,1.111111,0,1.111111,0,0,2.222222,cluster4
216,0,0.625,0.625,0.625,1.25,1.875,0,0.625,0,0,0,0.625,0.625,0.625,0,0,0.625,0,0,0.625,0,1.25,0,0,cluster2
