@relation Vweek_noid_Out2_clustered

@attribute Instance_number numeric
@attribute out0 numeric
@attribute out1 numeric
@attribute out2 numeric
@attribute out3 numeric
@attribute out4 numeric
@attribute out5 numeric
@attribute out6 numeric
@attribute out7 numeric
@attribute out8 numeric
@attribute out9 numeric
@attribute out10 numeric
@attribute out11 numeric
@attribute out12 numeric
@attribute out13 numeric
@attribute out14 numeric
@attribute out15 numeric
@attribute out16 numeric
@attribute out17 numeric
@attribute out18 numeric
@attribute out19 numeric
@attribute out20 numeric
@attribute out21 numeric
@attribute out22 numeric
@attribute out23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
107,0.090772,0.121029,0.121029,0.2118,0.196672,0.378215,0.484115,0.453858,0.332829,0.242057,0.499244,0.832073,0.786687,0.468986,0.590015,0.620272,0.75643,0.544629,0.499244,0.468986,0.438729,0.438729,0.226929,0.196672,cluster5
108,0.294695,0.157171,0.137525,0.314342,0.314342,0.471513,0.373281,0.569745,0.255403,0.491159,0.294695,0.353635,0.569745,0.392927,0.550098,0.43222,0.667976,0.530452,0.412574,0.333988,0.530452,0.491159,0.530452,0.530452,cluster5
109,1.010453,0.574913,0.418118,0.557491,0.261324,0.313589,0.348432,0.243902,0.400697,0.33101,0.470383,0.33101,0.452962,0.156794,0.33101,0.418118,0.348432,0.418118,0.487805,0.348432,0.43554,0.296167,0.452962,0.592334,cluster4
110,0.26827,0.407031,0.351526,0.573543,0.453284,0.333025,0.351526,0.481036,0.277521,0.416281,0.388529,0.379278,0.416281,0.490287,0.407031,0.342276,0.555042,0.39778,0.39778,0.592044,0.416281,0.425532,0.52729,0.351526,cluster4
111,0.536443,0.221574,0.355685,0.285714,0.274052,0.227405,0.268222,0.314869,0.367347,0.437318,0.530612,0.483965,0.402332,0.408163,0.45481,0.361516,0.38484,0.367347,0.355685,0.443149,0.612245,0.478134,0.51895,0.909621,cluster5
112,0.570033,0.130293,0.2443,0.260586,0.407166,0.309446,0.358306,0.081433,0.2443,0.325733,0.390879,0.374593,0.521173,0.309446,0.358306,0.407166,0.684039,0.537459,0.635179,0.667752,0.439739,0.488599,0.504886,0.749186,cluster5
113,0.307808,0.840841,0.795796,0.608108,0.442943,0.578078,0.36036,0.345345,0.397898,0.277778,0.39039,0.315315,0.285285,0.33033,0.322823,0.322823,0.277778,0.397898,0.33033,0.36036,0.382883,0.405405,0.525526,0.397898,cluster4
114,0.338346,0.601504,0.150376,0.225564,0.601504,0.413534,0.75188,0.37594,0.18797,0.37594,0.451128,0.56391,0.263158,0.225564,0.338346,0.451128,0.488722,0.300752,0.225564,0.451128,0.37594,0.451128,0.676692,0.714286,cluster4
115,0.335306,0.276134,0.157791,0.35503,0.216963,0.236686,0.335306,0.335306,0.315582,0.216963,0.631164,0.25641,0.394477,0.35503,0.769231,0.453649,0.25641,0.25641,0.453649,0.61144,0.591716,0.61144,0.946746,0.631164,cluster5
116,0,0.172414,0,0.689655,0.517241,0.689655,0.689655,0.344828,1.206897,0.689655,0.172414,0.689655,0.172414,1.034483,0.862069,0.344828,0,0.172414,0.172414,0,0.172414,0.862069,0.344828,0,cluster3
117,0.056577,0.042433,0.09901,0.070721,0.410184,0.353607,0.381895,0.381895,0.735502,0.636492,0.551627,0.608204,0.537482,0.282885,0.537482,0.636492,0.721358,0.707214,0.721358,0.466761,0.523338,0.282885,0.155587,0.09901,cluster5
118,0.418502,0.088106,0.242291,0.198238,0.198238,0.264317,0.220264,0.506608,0.396476,0.330396,0.198238,0.506608,0.286344,0.528634,0.506608,0.572687,0.814978,0.374449,0.374449,0.638767,0.660793,0.484581,0.506608,0.682819,cluster5
119,0.120968,0.362903,0.483871,0.362903,0.564516,0.524194,0.403226,0.201613,0.927419,0.483871,0.403226,0.282258,0.322581,0.362903,0.483871,0.16129,0.403226,0.322581,0.483871,0.403226,0.403226,0.846774,0.604839,0.080645,cluster4
120,0.27248,0.299728,0.381471,0.299728,0.626703,0.163488,0.27248,0.626703,0.599455,0.326975,0.517711,0.599455,0.27248,0.544959,0.463215,0.354223,0.653951,0.572207,0.572207,0.354223,0.354223,0.27248,0.326975,0.27248,cluster5
121,0.413534,0.601504,0.451128,0.225564,0.413534,0.150376,0.56391,0.676692,0.601504,0.37594,0.300752,0.338346,0.75188,0.639098,0.263158,0.488722,0.601504,0.112782,0.225564,0.300752,0.300752,0.526316,0.451128,0.225564,cluster4
122,0.068493,0.547945,0.205479,0.479452,0.410959,0.410959,0.342466,0.684932,0.410959,0.205479,0.410959,0.890411,0.273973,0.547945,0.273973,0.205479,0.890411,0.684932,0.068493,0.479452,0.547945,0.273973,0.547945,0.136986,cluster5
123,1.067073,0.487805,0.426829,0.27439,0.54878,0.213415,0.426829,0.152439,0.304878,0.457317,0.213415,0.518293,0.304878,0.213415,0.243902,0.27439,0.182927,0.304878,0.487805,0.54878,0.365854,0.457317,0.487805,1.036585,cluster2
124,0.114943,0,0.45977,0.45977,0.689655,0.689655,0.229885,0.229885,0.229885,1.149425,0.804598,0.574713,0,0.574713,0.689655,0.229885,0.574713,0.114943,0.574713,0.229885,0.344828,0.574713,0.229885,0.229885,cluster3
125,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,cluster9
126,0.150376,0.125313,0.100251,0.401003,0.47619,0.250627,0.325815,0.501253,0.350877,0.300752,0.451128,0.47619,0.576441,0.902256,0.526316,0.676692,0.250627,0.501253,0.676692,0.551378,0.451128,0.526316,0.37594,0.075188,cluster5
127,0.304878,0.060976,0.121951,0.121951,0.243902,0.426829,0.182927,0.060976,0.243902,0.243902,0.792683,0.54878,0.670732,0.670732,0.426829,0.487805,0.365854,0.609756,0.609756,0.609756,0.670732,0.243902,0.731707,0.54878,cluster5
128,0.472813,0.591017,0.803783,0.496454,0.614657,0.744681,0.579196,0.413712,0.307329,0.401891,0.413712,0.236407,0.413712,0.248227,0.200946,0.248227,0.236407,0.307329,0.319149,0.319149,0.390071,0.390071,0.390071,0.460993,cluster4
129,0.236613,0.460772,0.249066,0.286426,0.498132,0.373599,0.373599,0.672478,0.622665,0.547945,0.547945,0.311333,0.373599,0.298879,0.423412,0.572852,0.249066,0.361146,0.398506,0.523039,0.635118,0.311333,0.286426,0.386052,cluster4
130,0.30913,0.682962,0.682962,0.524802,0.582315,0.352265,0.431344,0.373832,0.438533,0.54637,0.373832,0.237239,0.330697,0.273185,0.280374,0.287563,0.30913,0.38821,0.445723,0.416966,0.438533,0.345075,0.460101,0.488857,cluster4
131,0.617978,0.224719,0.561798,0.449438,0.505618,0.561798,0.393258,0.11236,0.449438,0.393258,0.168539,0.786517,0.224719,0.561798,0.280899,0.505618,0.393258,0.674157,0.168539,0.280899,0.337079,0.449438,0.505618,0.393258,cluster5
132,0.402299,0.344828,0.402299,0.402299,0.517241,0.45977,0.517241,0.287356,0.45977,0.287356,0.689655,0.287356,0.689655,0.574713,0.45977,0.229885,0.632184,0.344828,0.344828,0.632184,0.402299,0.229885,0.172414,0.229885,cluster5
133,1.08209,0.223881,0.522388,0.223881,0.223881,0.149254,0.261194,0.261194,0.298507,0.373134,0.298507,0.410448,0.671642,0.261194,0.522388,0.634328,0.335821,0.335821,0.298507,0.708955,0.410448,0.410448,0.634328,0.447761,cluster2
134,0.13363,0.222717,0.244989,0.200445,0.13363,0.244989,0.378619,0.356347,0.489978,0.579065,0.423163,0.846325,0.423163,0.423163,0.534521,0.868597,0.334076,0.668151,0.489978,0.467706,0.356347,0.467706,0.378619,0.334076,cluster5
135,0.097493,0.069638,0.194986,0.083565,0.320334,0.208914,0.417827,0.51532,0.334262,0.529248,0.417827,0.431755,0.724234,0.710306,0.51532,0.571031,0.86351,0.891365,1.086351,0.389972,0.222841,0.306407,0.083565,0.013928,cluster5
136,0.090703,0.453515,0.362812,0.612245,0.589569,0.566893,0.272109,0.748299,0.340136,0.340136,0.294785,0.589569,0.408163,0.31746,0.612245,0.498866,0.31746,0.31746,0.47619,0.453515,0.453515,0.362812,0.294785,0.226757,cluster4
137,0.102881,0.123457,0.37037,0.329218,0.534979,0.63786,0.555556,0.390947,0.411523,0.37037,0.432099,0.37037,0.473251,0.432099,0.514403,0.473251,0.534979,0.432099,0.658436,0.555556,0.37037,0.349794,0.432099,0.144033,cluster4
138,0.529801,0.482498,0.652791,0.473037,0.463576,0.416272,0.331126,0.368969,0.283822,0.406812,0.350047,0.359508,0.51088,0.38789,0.312204,0.340587,0.283822,0.397351,0.293283,0.312204,0.539262,0.529801,0.444655,0.529801,cluster4
139,0.30581,0.214067,0.458716,0.642202,0.519878,0.489297,0.550459,0.764526,0.611621,0.244648,0.458716,0.397554,0.336391,0.244648,0.489297,0.275229,0.275229,0.30581,0.458716,0.795107,0.244648,0.214067,0.397554,0.30581,cluster4
140,0.482686,0.608604,0.786988,0.398741,0.493179,0.524659,0.314795,0.335782,0.409234,0.598111,0.335782,0.325289,0.314795,0.398741,0.167891,0.419727,0.314795,0.346275,0.272823,0.43022,0.4617,0.493179,0.409234,0.356768,cluster4
141,0.37037,0.521886,0.47138,0.774411,0.43771,0.454545,0.40404,0.353535,0.47138,0.26936,0.454545,0.319865,0.43771,0.319865,0.319865,0.319865,0.20202,0.37037,0.23569,0.43771,0.43771,0.538721,0.622896,0.454545,cluster4
142,0.527728,0.420394,0.420394,0.456172,0.465116,0.456172,0.49195,0.29517,0.411449,0.268336,0.474061,0.384615,0.509839,0.429338,0.357782,0.348837,0.330948,0.339893,0.447227,0.483005,0.366726,0.330948,0.49195,0.49195,cluster4
143,0,3.333333,0,0.555556,1.111111,1.666667,0.555556,0.555556,1.111111,0,0,0,0,0,0.555556,0,0,0,0,0,0.555556,0,0,0,cluster9
144,0.318907,0.47836,0.546697,0.70615,0.455581,0.70615,0.318907,0.387244,0.250569,0.501139,0.546697,0.318907,0.387244,0.546697,0.523918,0.592255,0.455581,0.296128,0.182232,0.318907,0.250569,0.250569,0.341686,0.318907,cluster4
145,0.175439,0.350877,0.526316,0.350877,0.701754,0.350877,0.175439,0.877193,0.877193,0.701754,0.175439,1.052632,0,0.877193,0.175439,0.350877,1.052632,0.526316,0.175439,0,0,0.350877,0,0.175439,cluster3
146,0.241343,0.241343,0.23085,0.241343,0.19937,0.419727,0.293809,0.440714,0.503673,0.419727,0.619098,0.346275,0.409234,0.283316,0.451207,0.577125,0.398741,0.514166,0.671563,0.839454,0.482686,0.367261,0.367261,0.440714,cluster5
147,0.138169,0.466321,0.794473,0.431779,0.604491,0.690846,0.466321,0.518135,0.397237,0.483592,0.483592,0.414508,0.414508,0.345423,0.414508,0.276339,0.397237,0.29361,0.379965,0.259067,0.483592,0.362694,0.224525,0.259067,cluster4
148,1.176471,0.588235,1.176471,1.176471,1.176471,0,0,0,0.588235,0,0,0.588235,0.588235,0,0,0,0,0,0,0,0,1.176471,1.176471,0.588235,cluster2
149,0.444444,1.333333,0.444444,0.444444,0.333333,0.555556,0.222222,0.222222,0.333333,0.444444,0.555556,0.111111,0,0.777778,0.111111,0.444444,0.333333,0.444444,1,0.333333,0.444444,0.333333,0.222222,0.111111,cluster3
150,0.29703,0.39604,0.990099,0.693069,0.09901,0.19802,0.19802,0,0.891089,0.29703,0.39604,0.990099,0.49505,0.49505,0.39604,0.594059,0.39604,0.29703,0.39604,0.19802,0.792079,0.09901,0.19802,0.19802,cluster3
151,0,0.49505,0.594059,0.792079,0,0.594059,0.594059,0.49505,0.891089,0.39604,0.29703,0.594059,0.39604,0.29703,0.29703,0.29703,0.19802,0.29703,0.49505,0.19802,0.594059,0.49505,0.39604,0.29703,cluster4
152,0.2537,0.38055,0.465116,0.549683,0.655391,0.5074,0.38055,0.274841,0.422833,0.359408,0.465116,0.38055,0.232558,0.5074,0.465116,0.443975,0.465116,0.422833,0.295983,0.317125,0.401691,0.443975,0.5074,0.401691,cluster4
153,0.923913,0.217391,0.706522,0.543478,0.326087,0.163043,0.217391,0.543478,0.434783,0.271739,0.434783,0.380435,0.652174,0.326087,0.163043,0.271739,0.434783,0.163043,0.380435,1.032609,0.434783,0.108696,0.380435,0.48913,cluster2
154,0.222222,0.666667,0.555556,0.222222,0.333333,0.444444,0.666667,0.444444,0.777778,0.555556,0.777778,0.333333,0.333333,0.333333,0.666667,0.555556,0.111111,0.111111,0.444444,0.111111,0.444444,0.333333,0.222222,0.333333,cluster3
155,0.153322,0.698467,0.613288,0.681431,0.511073,0.664395,0.459966,0.528109,0.357751,0.255537,0.477002,0.289608,0.408859,0.221465,0.459966,0.749574,0.187394,0.391823,0.374787,0.340716,0.357751,0.289608,0.306644,0.221465,cluster4
156,0.123457,0.58642,0.802469,0.771605,0.709877,0.58642,0.58642,0.432099,0.339506,0.555556,0.493827,0.432099,0.339506,0.401235,0.432099,0.37037,0.185185,0.308642,0.462963,0.154321,0.277778,0.308642,0.216049,0.123457,cluster4
157,0,0.38961,0.25974,0.779221,0.779221,0.519481,0,0.12987,0.38961,0.25974,0,0.519481,0.12987,0.25974,0.779221,0.38961,0.25974,0.38961,0.25974,0.12987,0.779221,1.428571,0.649351,0.519481,cluster8
158,1.3,0.6,0.35,0.15,0.8,0.15,0.25,0.35,0.25,0.45,0.3,0.45,0.25,0.15,0.4,0.6,0.15,0.35,0.45,0.6,0.35,0.3,0.35,0.65,cluster2
159,0,0.465116,0.387597,0.387597,0.387597,0.155039,0.465116,0.387597,0.542636,0.930233,0.542636,1.007752,0.542636,0.310078,0.775194,0.620155,0.465116,0.387597,0.155039,0.465116,0.155039,0.077519,0.232558,0.155039,cluster3
160,0.747664,0.186916,0.186916,0.934579,0.280374,0.654206,0.186916,0.186916,0.46729,0.654206,0.280374,0.747664,0.46729,0.373832,0.46729,0.560748,0.186916,0.093458,0.747664,0.841121,0.186916,0.373832,0.186916,0,cluster3
161,0.084306,0.090791,0.136187,0.239948,0.272374,0.272374,0.486381,0.486381,0.603113,0.505837,0.531777,0.434501,0.531777,0.642023,0.784695,0.616083,0.635538,0.79118,0.544747,0.389105,0.466926,0.278859,0.051881,0.123217,cluster5
162,0.076687,0.053681,0.168712,0.138037,0.253067,0.429448,0.222393,0.375767,0.391104,0.483129,0.53681,0.705521,0.636503,1.019939,0.644172,0.866564,0.667178,0.53681,0.674847,0.368098,0.329755,0.276074,0.092025,0.053681,cluster5
163,0,0.30303,0.20202,0.30303,0.606061,0.606061,0.909091,0.20202,0.40404,0.30303,0.909091,0.606061,0.808081,0.505051,0.10101,0.707071,0.10101,0.505051,0.707071,0.10101,0.40404,0.40404,0.30303,0,cluster3
164,0.240964,0.200803,0.120482,0.100402,0.140562,0.301205,0.140562,0.301205,0.421687,0.321285,0.401606,0.542169,0.441767,0.64257,0.62249,0.682731,0.963855,0.843373,0.502008,0.281124,0.341365,0.502008,0.381526,0.562249,cluster5
165,0.316456,0.316456,0.759494,1.075949,0.316456,0.696203,0.253165,0.316456,0.443038,0.189873,0.379747,0.126582,0.822785,0.189873,0.253165,0.379747,0.443038,0.443038,0.56962,0.506329,0.126582,0.316456,0.443038,0.316456,cluster3
166,0,0.588235,0.346021,0.346021,0.865052,0.692042,0.622837,0.449827,0.346021,0.588235,0.484429,0.311419,0.311419,0.276817,0.242215,0.276817,0.346021,0.588235,0.553633,0.311419,0.415225,0.380623,0.449827,0.207612,cluster4
167,0.074074,0.888889,0.444444,0.37037,0.666667,0.518519,0.666667,0.592593,0.592593,0.740741,0.37037,0.148148,0.074074,0.074074,0.518519,0.148148,0.740741,0.37037,0.296296,0.37037,0.814815,0.222222,0.148148,0.148148,cluster3
168,0,0.526316,1.052632,0.526316,2.105263,0,0,0,0,0,0,2.105263,0,0,1.052632,0,1.052632,0,0,0,0,0.526316,0.526316,0.526316,cluster0
169,0.404624,0.289017,0.289017,0.115607,0.115607,0.404624,0.578035,0.751445,0.751445,0.289017,0.462428,0.520231,0.404624,0.520231,0.462428,0.578035,0.346821,0.346821,0.289017,0.578035,0.346821,0.231214,0.635838,0.289017,cluster5
170,0.838323,0.718563,0.598802,0.598802,0.239521,0.239521,0.479042,0.179641,0.299401,0.299401,0.419162,0.179641,0.179641,0,0.239521,0.778443,0.898204,0.299401,0.299401,0.419162,0.179641,0.299401,0.479042,0.838323,cluster2
171,0.060501,0.155575,0.207433,0.08643,0.233362,0.28522,0.414866,0.449438,0.371651,0.449438,0.414866,0.648228,0.803803,0.561798,0.48401,0.639585,0.639585,0.665514,0.622299,0.579084,0.406223,0.406223,0.363008,0.051858,cluster5
172,0,0,0,1,0,0,0,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,cluster9
173,0,0,1.071429,1.428571,0.357143,0.535714,0,0.357143,0.357143,0,0,1.071429,0.178571,0.714286,0.892857,0.714286,0.357143,0.178571,0.535714,0.357143,0,0.357143,0,0.535714,cluster3
174,0.454545,0.833333,0.454545,0.30303,0.30303,0.378788,0.681818,0.378788,0.378788,0.30303,0.30303,0.606061,0.30303,0.454545,0.454545,0.227273,0.151515,0.454545,0.530303,0.30303,0.227273,0.606061,0.530303,0.378788,cluster4
175,0,0.166667,0.166667,0.666667,0,0.5,0.5,0.833333,1,0.666667,0.333333,0,0.833333,0.166667,0.166667,0.333333,1,0.166667,0.166667,0.166667,0.5,0.666667,0.666667,0.333333,cluster3
176,0.340909,0.3125,0.255682,0.625,0.767045,0.710227,0.596591,0.369318,0.625,0.397727,0.227273,0.369318,0.511364,0.369318,0.454545,0.284091,0.227273,0.142045,0.596591,0.3125,0.340909,0.340909,0.426136,0.397727,cluster4
177,0.529101,0.31746,0.31746,0.05291,0.37037,0.37037,0.10582,0.15873,0.582011,0.26455,0.740741,0.26455,0.26455,0.37037,0.687831,0.740741,0.26455,0.42328,0.634921,0.31746,0.529101,0.31746,0.740741,0.634921,cluster5
178,0.33543,0.314465,0.524109,0.293501,0.712788,0.796646,0.440252,0.461216,0.398323,0.398323,0.398323,0.251572,0.251572,0.356394,0.377358,0.377358,0.377358,0.503145,0.356394,0.356394,0.251572,0.440252,0.440252,0.587002,cluster4
179,0.133929,0.178571,0.3125,0.223214,0.580357,0.491071,0.401786,0.491071,0.178571,0.446429,0.223214,0.357143,0.401786,0.758929,0.3125,0.535714,0.625,0.9375,0.446429,0.446429,0.446429,0.401786,0.491071,0.178571,cluster5
180,0.365854,0.426829,0.060976,0.182927,0.182927,0.182927,0.182927,0.365854,0.97561,0.243902,0.54878,0.121951,0.670732,0.182927,0.54878,0.487805,0.182927,0.731707,0.426829,0.609756,0.853659,0.853659,0.365854,0.243902,cluster5
181,0,0,0,0.20979,0.20979,0,0.48951,0.27972,0.559441,0.48951,0.699301,0.769231,0.699301,0.629371,0.629371,0.769231,1.188811,0.48951,0.20979,0.629371,0.41958,0.06993,0.27972,0.27972,cluster5
182,0.234375,0.15625,0.234375,0.078125,0.3125,0.390625,0.3125,0.3125,0.234375,0.625,0.625,0.546875,0.15625,1.015625,0.546875,0.625,0.078125,0.78125,0.78125,0.3125,0.546875,0.234375,0.15625,0.703125,cluster5
183,0,0.106383,0.106383,0.319149,0.106383,0.531915,0.212766,0.531915,0.744681,0.744681,0.531915,0.425532,0.425532,0.212766,0.744681,0.851064,0.744681,0.638298,0.531915,0.319149,0.425532,0.319149,0.319149,0.106383,cluster5
184,0,0.15873,0,0.15873,0.793651,0.47619,0,0.952381,0.47619,0.634921,1.111111,0.47619,0.634921,0,0.31746,0.31746,0.31746,0.634921,0.47619,0.31746,0.31746,0.47619,0,0.952381,cluster5
185,0.464481,0.409836,0.300546,0.57377,0.491803,0.491803,0.382514,0.136612,0.546448,0.273224,0.409836,0.57377,0.355191,0.409836,0.519126,0.245902,0.273224,0.355191,0.245902,0.327869,0.628415,0.409836,0.519126,0.655738,cluster4
186,0.25641,0.769231,0.512821,0.769231,0.25641,0,0,0.25641,0.512821,0.25641,1.538462,0,0.25641,0.512821,1.025641,0.512821,0.25641,0.25641,0.512821,0,0.769231,0,0,0.769231,cluster3
187,0.869565,0,0.434783,1.304348,1.73913,0.434783,0.434783,0.434783,0,0,0,0.869565,0,0,0,0,0,0.434783,0.869565,1.304348,0.434783,0.434783,0,0,cluster3
188,0.350877,0,0.175439,0.350877,0.701754,0.701754,0.175439,1.052632,0.526316,0.175439,0.526316,0.350877,0.701754,0.877193,0.526316,0.350877,0.350877,0,0.701754,0.350877,0.350877,0.526316,0,0.175439,cluster3
189,0,0.510949,0.145985,0.583942,0.80292,0.583942,0.437956,0.656934,0.364964,0.291971,0.437956,0.437956,0.583942,0.729927,0.218978,0.291971,0.437956,0.145985,0.656934,0.364964,0.218978,0.291971,0.364964,0.437956,cluster4
190,0.522565,0.427553,0.118765,0.522565,0.380048,0.285036,0.570071,0.498812,0.546318,0.380048,0.475059,0.4038,0.356295,0.451306,0.475059,0.332542,0.332542,0.451306,0.23753,0.380048,0.475059,0.451306,0.332542,0.593824,cluster4
191,0.486486,0.144144,0.198198,0.234234,0.162162,0.414414,0.288288,0.540541,0.198198,0.198198,0.18018,0.45045,0.36036,0.468468,0.540541,0.324324,0.720721,0.27027,0.468468,0.522523,0.558559,0.702703,0.612613,0.954955,cluster5
192,0.28348,0.400782,0.342131,0.254154,0.342131,0.30303,0.342131,0.273705,0.361681,0.371457,0.527859,0.56696,0.30303,0.381232,0.391007,0.498534,0.391007,0.410557,0.488759,0.498534,0.508309,0.469208,0.56696,0.723363,cluster5
193,0.27027,0.405405,0.675676,1.081081,0.405405,0.810811,0.540541,0.27027,0.27027,0.27027,0.27027,0.27027,0.135135,0.135135,0.675676,0.810811,0.405405,0,0.27027,0.135135,0.675676,0.135135,0.810811,0.27027,cluster3
194,0.27027,0.27027,0.135135,0.540541,0.675676,0.27027,0.27027,0.540541,0.27027,0.675676,0,1.081081,0.810811,0.27027,0.540541,0.135135,0.135135,0.405405,0.135135,0.810811,0.27027,0.675676,0.27027,0.540541,cluster3
195,0,0.594059,0.594059,1.485149,0.693069,0.49505,0,0.29703,0.693069,0.39604,1.188119,0.19802,0.49505,0.09901,0.693069,0.09901,0.39604,0.29703,0.29703,0.29703,0,0.29703,0.19802,0.19802,cluster3
196,0.065493,0.143266,0.216946,0.339746,0.278346,0.347933,0.470733,0.425706,0.450266,0.499386,0.523946,0.548506,0.589439,0.474826,0.663119,0.613999,0.663119,0.568973,0.523946,0.544413,0.413426,0.360213,0.1228,0.151453,cluster5
197,0,0.186916,0.093458,0.186916,0.46729,0.280374,0.654206,0.841121,0,0.186916,0.841121,1.121495,0.280374,0.280374,0.654206,0.560748,0.560748,1.028037,1.121495,0.186916,0,0.280374,0.093458,0.093458,cluster3
198,0.370813,0.358852,0.514354,0.598086,0.454545,0.478469,0.263158,0.370813,0.442584,0.466507,0.442584,0.358852,0.322967,0.370813,0.430622,0.454545,0.251196,0.299043,0.334928,0.370813,0.454545,0.382775,0.526316,0.681818,cluster4
199,0.1875,0.4375,0.6875,0.25,0.1875,0.1875,0.3125,0.625,0.4375,0.1875,0.625,0.25,0.625,0.5,0.5,0.375,0.75,0.4375,0.5625,0.4375,0.375,0.5625,0.25,0.25,cluster5
200,0.128205,0,0.128205,0.128205,0.25641,0.384615,0.641026,0.897436,0.641026,0.769231,0.25641,0.384615,0.769231,0.512821,0.384615,0.128205,0.769231,1.153846,0.25641,0.384615,0.25641,0.512821,0.128205,0.128205,cluster3
201,0.540541,0.508744,0.222576,0.333863,0.238474,0.476948,0.588235,0.413355,0.286169,0.445151,0.317965,0.699523,0.445151,0.508744,0.556439,0.349762,0.429253,0.254372,0.397456,0.317965,0.381558,0.286169,0.413355,0.588235,cluster4
202,0,1.162791,0.581395,0.348837,0.581395,0.348837,0.581395,0.232558,0.348837,0.581395,1.046512,0,0.813953,0.116279,0.465116,0.581395,0.116279,0.465116,0.348837,0.697674,0.116279,0.232558,0.232558,0,cluster3
203,0,0,0,0,0,0,0,3.75,0,0,0,2.5,0,0,0,1.25,0,0,0,1.25,1.25,0,0,0,cluster8
204,0.238095,0.714286,1.190476,0.952381,1.190476,0.47619,0,0.47619,0.238095,0.47619,0.238095,0.47619,0.238095,0.47619,0.714286,1.190476,0.238095,0,0.238095,0,0,0,0.238095,0,cluster3
205,1.314597,0.779692,0.407978,0.326383,0.253853,0.326383,0.453309,0.344515,0.281052,0.299184,0.38078,0.317316,0.371714,0.244787,0.462375,0.281052,0.38078,0.290118,0.362647,0.290118,0.435177,0.417044,0.371714,0.607434,cluster2
206,0.217391,0.652174,0.217391,0.652174,0.217391,0,0,0.217391,0.217391,0.869565,0.434783,0.217391,0.434783,0.652174,1.086957,0.652174,0.217391,0.434783,0.652174,0.434783,0.434783,0,0.869565,0.217391,cluster5
207,0.361446,0.60241,1.084337,0.481928,0.843373,0.481928,0.361446,0.60241,0.240964,0.843373,0.481928,0.240964,0.240964,0.361446,0,0.120482,0.240964,0.120482,0.722892,0.240964,0.60241,0.361446,0.120482,0.240964,cluster3
208,0.254777,0.636943,0.700637,0.44586,0.382166,0.382166,0.191083,0.254777,0.573248,0.127389,0.700637,0.573248,0.382166,0.89172,0.254777,0.573248,0.254777,0.318471,0.254777,0.191083,0.318471,0.382166,0.44586,0.509554,cluster5
209,0.208333,0.208333,0.833333,0.520833,0.3125,0.625,0.416667,0.3125,0.416667,0.625,0.3125,0.208333,0.833333,0.520833,0.208333,0.9375,0.208333,0.208333,0.520833,0.416667,0.104167,0.3125,0.104167,0.625,cluster3
210,0,0.25,0,0.5,1,1,0.25,0.25,0.25,2.75,0.25,0.25,0,0,1.5,0,0.25,0.75,0.75,0,0,0,0,0,cluster1
211,0,0.465116,0.232558,0.465116,0.232558,0.232558,0.465116,0.930233,0.232558,0.465116,0.930233,0.232558,0.232558,0.930233,0.232558,0.930233,1.162791,0.697674,0.232558,0,0.465116,0,0,0.232558,cluster3
212,0,1,0,0,1,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,cluster8
213,0,0,0,0,0,1.666667,0,0,0,0,1.666667,1.666667,0,1.666667,0,0,1.666667,0,1.666667,0,0,0,0,0,cluster0
214,0.102041,0.204082,0.306122,0.714286,0.510204,0.102041,0.510204,0.204082,0.408163,0.306122,0.612245,0.714286,0.510204,0.204082,0.714286,0.816327,0.714286,0.612245,0.816327,0.612245,0.102041,0,0.204082,0,cluster3
215,0,2.222222,1.111111,0,0,0,1.111111,0,0,1.111111,1.111111,1.111111,1.111111,0,0,0,0,0,0,1.111111,0,0,0,0,cluster3
216,0.526316,0.526316,0,0,1.052632,1.578947,0.526316,0,0,0.526316,1.578947,0.526316,0,0.526316,0.526316,0,0,0.526316,0,0.526316,0.526316,0,0,0.526316,cluster3
217,0.260223,0.35316,0.260223,0.539033,0.185874,0.223048,0.408922,0.483271,0.390335,0.650558,0.63197,0.315985,0.315985,0.334572,0.70632,0.371747,0.483271,0.576208,0.520446,0.427509,0.408922,0.464684,0.446097,0.241636,cluster5
218,0,0,0.833333,0,0.833333,0,0,0,0.833333,0,0,0.833333,0,1.666667,0.833333,0,0,0.833333,0.833333,1.666667,0,0.833333,0,0,cluster8
219,0.26087,0.26087,0.695652,0.478261,1,0.26087,0.347826,0.652174,0.565217,0.304348,0.521739,0.304348,0.434783,0.304348,0.434783,0.217391,0.173913,0.478261,0.26087,0.434783,0.565217,0.217391,0.521739,0.304348,cluster4
220,0.514208,0.690122,0.351827,0.446549,0.433018,0.311231,0.635995,0.311231,0.338295,0.460081,0.202977,0.2977,0.2977,0.405954,0.37889,0.473613,0.243572,0.311231,0.324763,0.405954,0.405954,0.52774,0.663058,0.568336,cluster4
221,0.332618,0.729614,0.654506,0.654506,0.54721,0.643777,0.246781,0.364807,0.525751,0.396996,0.396996,0.26824,0.27897,0.396996,0.472103,0.26824,0.27897,0.26824,0.214592,0.354077,0.375536,0.461373,0.418455,0.450644,cluster4
