@relation Vweek_noid_Out2_clustered

@attribute Instance_number numeric
@attribute out0 numeric
@attribute out1 numeric
@attribute out2 numeric
@attribute out3 numeric
@attribute out4 numeric
@attribute out5 numeric
@attribute out6 numeric
@attribute out7 numeric
@attribute out8 numeric
@attribute out9 numeric
@attribute out10 numeric
@attribute out11 numeric
@attribute out12 numeric
@attribute out13 numeric
@attribute out14 numeric
@attribute out15 numeric
@attribute out16 numeric
@attribute out17 numeric
@attribute out18 numeric
@attribute out19 numeric
@attribute out20 numeric
@attribute out21 numeric
@attribute out22 numeric
@attribute out23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
23,0.993671,0.512658,0.322785,0.405063,0.424051,0.379747,0.443038,0.392405,0.417722,0.392405,0.398734,0.398734,0.392405,0.424051,0.291139,0.367089,0.35443,0.360759,0.417722,0.240506,0.379747,0.379747,0.443038,0.468354,cluster4
24,0.487085,0.479705,0.509225,0.450185,0.317343,0.442804,0.405904,0.457565,0.583026,0.420664,0.391144,0.398524,0.369004,0.332103,0.398524,0.457565,0.354244,0.361624,0.287823,0.332103,0.317343,0.413284,0.494465,0.538745,cluster4
25,0.336538,0.865385,0.264423,0.600962,0.721154,0.528846,0.528846,0.360577,0.3125,0.216346,0.264423,0.3125,0.384615,0.336538,0.504808,0.360577,0.408654,0.3125,0.216346,0.528846,0.673077,0.360577,0.3125,0.288462,cluster4
26,0.392157,0.140056,0.084034,0.168067,0.364146,0.280112,0.420168,0.308123,0.336134,0.47619,0.364146,0.280112,0.252101,0.308123,0.588235,0.196078,0.616246,0.448179,0.70028,0.47619,0.588235,0.448179,0.868347,0.896359,cluster5
27,0.361446,0.655957,0.8166,0.441767,0.508701,0.548862,0.441767,0.508701,0.414993,0.361446,0.361446,0.42838,0.321285,0.227577,0.187416,0.294511,0.401606,0.267738,0.294511,0.38822,0.348059,0.334672,0.522088,0.562249,cluster4
28,0.855856,0.945946,0.563063,0.382883,0.495495,0.518018,0.45045,0.315315,0.405405,0.292793,0.292793,0.563063,0.247748,0.09009,0.225225,0.225225,0.292793,0.315315,0.225225,0.427928,0.382883,0.45045,0.495495,0.540541,cluster4
29,0.144928,0.57971,0.289855,1.15942,0.289855,0.434783,0.289855,0.724638,0.434783,0.434783,0.289855,0.144928,0.57971,0.57971,0.144928,0.724638,0.57971,0.434783,0.144928,0.434783,0,0.289855,0.57971,0.289855,cluster3
30,0.169924,0.424809,0.518267,0.297366,0.373832,0.501274,0.339847,0.458794,0.484282,0.433305,0.501274,0.390824,0.314359,0.348343,0.441801,0.373832,0.424809,0.373832,0.390824,0.475786,0.552251,0.46729,0.611725,0.331351,cluster4
31,0.301508,0.577889,0.753769,1.231156,0.879397,0.427136,0.502513,0.427136,0.351759,0.477387,0.276382,0.276382,0.150754,0.326633,0.326633,0.251256,0.175879,0.175879,0.150754,0.251256,0.40201,0.477387,0.40201,0.427136,cluster4
32,0.569054,0.569054,0.466752,0.492327,0.47954,0.383632,0.402813,0.434783,0.383632,0.332481,0.338875,0.306905,0.300512,0.306905,0.36445,0.268542,0.242967,0.351662,0.377238,0.338875,0.47954,0.569054,0.632992,0.607417,cluster4
33,0,0,1.25,0,0,1.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,cluster8
34,0.514706,0.245098,0.441176,0.735294,0.465686,0.514706,0.416667,0.343137,0.441176,0.465686,0.318627,0.465686,0.465686,0.539216,0.441176,0.392157,0.318627,0.441176,0.245098,0.514706,0.220588,0.367647,0.392157,0.294118,cluster4
35,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster9
36,1.25,1.25,0,0,0,0,0,0,0,0,0,1.25,1.25,0,1.25,0,0,0,0,0,0,0,2.5,1.25,cluster2
37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,cluster9
38,0,0,0.689655,0.344828,0,0.344828,0.344828,0.344828,1.724138,0,0,1.724138,0.344828,0,0.344828,1.034483,0,1.034483,0,0.689655,0,0,1.034483,0,cluster8
39,0,1.2,0.4,0,0.8,0,0.4,0.4,0,0.8,0.4,0,1.2,0.4,0.8,1.2,0.4,0.4,0.4,0.4,0,0,0,0.4,cluster3
40,0.116279,0.116279,0,0,0.465116,0.465116,0.581395,0,0.465116,0.581395,0.232558,0.697674,0.465116,0.348837,0.232558,1.046512,0.348837,0.348837,0.465116,0.581395,0.581395,1.162791,0.232558,0.465116,cluster5
41,0,0.147059,0.661765,0,0.588235,0.514706,0.735294,0.514706,0.661765,0.808824,0.588235,0.441176,0.220588,0.147059,0.735294,0.661765,0.514706,0.294118,0.441176,0.220588,0.514706,0.147059,0.294118,0.147059,cluster3
42,1.92437,0.529412,0.243697,0.243697,0.411765,0.420168,0.294118,0.310924,0.226891,0.193277,0.201681,0.201681,0.361345,0.201681,0.310924,0.369748,0.369748,0.268908,0.310924,0.403361,0.470588,0.403361,0.605042,0.722689,cluster2
43,0.294118,0.378151,0.546218,0.714286,0.252101,0.252101,0.504202,0.462185,0.378151,0.756303,0.588235,0.294118,0.294118,0.252101,0.12605,0.12605,0.462185,0.714286,0.378151,0.294118,0.420168,0.504202,0.672269,0.336134,cluster4
44,0.076336,0.916031,0.305344,0.305344,0.458015,0.229008,0.687023,0.152672,0.610687,0.381679,0.305344,0.687023,0.916031,0.687023,0.152672,0.229008,0.687023,0.229008,0.534351,0.381679,0.381679,0.229008,0.229008,0.229008,cluster3
45,0.412446,0.412446,0.484805,0.499276,0.390738,0.499276,0.434153,0.397974,0.455861,0.412446,0.311143,0.40521,0.361795,0.361795,0.36903,0.289436,0.332851,0.383502,0.347323,0.412446,0.376266,0.571635,0.622287,0.455861,cluster4
46,1.292576,0.489083,0.427948,0.436681,0.480349,0.471616,0.419214,0.244541,0.384279,0.331878,0.305677,0.384279,0.349345,0.174672,0.253275,0.148472,0.218341,0.296943,0.218341,0.366812,0.366812,0.480349,0.541485,0.917031,cluster2
47,1.809524,0.380952,0.285714,0.380952,0.285714,0.380952,0.47619,0.47619,0.190476,0.095238,0,0.095238,0,0.380952,0.095238,0.190476,0.571429,0.095238,0.190476,0.761905,0.380952,0.285714,1.142857,1.047619,cluster2
48,0.164609,0.123457,0.246914,0.246914,0.617284,0.246914,0.246914,0.493827,0.658436,0.37037,0.452675,0.37037,0.37037,0.781893,0.740741,0.658436,0.658436,0.205761,0.329218,0.411523,0.246914,0.329218,0.617284,0.411523,cluster5
49,0.545145,0.302385,0.319421,0.417376,0.506814,0.421635,0.472743,0.553663,0.506814,0.383305,0.4046,0.4046,0.387564,0.366269,0.357751,0.383305,0.357751,0.340716,0.391823,0.421635,0.379046,0.481261,0.353492,0.540886,cluster4
50,0.337909,0.464625,0.61246,0.432946,0.337909,0.517423,0.464625,0.380148,0.432946,0.380148,0.380148,0.411827,0.390707,0.432946,0.242872,0.422386,0.517423,0.348469,0.31679,0.390707,0.538543,0.464625,0.359029,0.422386,cluster4
51,0.278788,0.266667,0.424242,0.424242,0.460606,0.424242,0.557576,0.266667,0.484848,0.545455,0.472727,0.327273,0.363636,0.351515,0.4,0.533333,0.363636,0.448485,0.412121,0.327273,0.521212,0.521212,0.424242,0.4,cluster4
52,0.293542,0.195695,0.469667,0.332681,0.450098,0.547945,0.606654,0.430528,0.37182,0.450098,0.450098,0.469667,0.430528,0.547945,0.391389,0.35225,0.508806,0.606654,0.410959,0.547945,0.430528,0.37182,0.215264,0.117417,cluster4
53,0.409091,0.515152,0.439394,0.575758,0.393939,0.575758,0.318182,0.5,0.363636,0.378788,0.515152,0.363636,0.30303,0.318182,0.318182,0.272727,0.378788,0.393939,0.409091,0.30303,0.606061,0.348485,0.560606,0.439394,cluster4
54,0.114379,0.277778,0.375817,0.392157,0.637255,0.375817,0.539216,0.473856,0.620915,0.571895,0.310458,0.326797,0.441176,0.408497,0.506536,0.294118,0.294118,0.392157,0.522876,0.539216,0.343137,0.539216,0.490196,0.212418,cluster4
55,0.559211,0.657895,0.361842,0.509868,0.213816,0.345395,0.509868,0.230263,0.345395,0.460526,0.476974,0.427632,0.542763,0.427632,0.361842,0.559211,0.345395,0.230263,0.427632,0.394737,0.444079,0.394737,0.328947,0.444079,cluster4
56,0.262726,0.328407,0.295567,0.344828,0.410509,0.607553,0.492611,0.426929,0.525452,0.509031,0.295567,0.394089,0.47619,0.525452,0.311987,0.607553,0.394089,0.361248,0.541872,0.47619,0.361248,0.377668,0.279146,0.394089,cluster4
57,0.512438,0.597015,0.686567,0.467662,0.477612,0.38806,0.432836,0.38806,0.368159,0.343284,0.353234,0.368159,0.383085,0.318408,0.373134,0.273632,0.293532,0.308458,0.442786,0.338308,0.492537,0.502488,0.437811,0.452736,cluster4
58,0.397112,0.288809,0.541516,0.938628,0.433213,0.758123,0.252708,0.577617,0.144404,0.397112,0.397112,0.577617,0.361011,0.288809,0.216606,0.361011,0.433213,0.397112,0.505415,0.288809,0.361011,0.361011,0.32491,0.397112,cluster4
59,0.552995,0.656682,0.587558,0.725806,0.645161,0.541475,0.414747,0.380184,0.357143,0.368664,0.322581,0.414747,0.299539,0.403226,0.241935,0.380184,0.322581,0.31106,0.460829,0.299539,0.322581,0.414747,0.368664,0.207373,cluster4
60,0.232558,0.398671,0.564784,0.465116,0.365449,0.598007,0.332226,0.398671,0.232558,0.564784,0.564784,0.299003,0.631229,0.365449,0.631229,0.598007,0.431894,0.166113,0.365449,0.465116,0.265781,0.265781,0.199336,0.598007,cluster4
61,0.454545,0.519481,0.519481,0.25974,0.584416,0.454545,0.454545,0.25974,0.454545,0.25974,0.454545,0.649351,0.25974,0.12987,0.454545,0.649351,0.38961,0.25974,0.454545,0.38961,0.25974,0.38961,0.38961,0.649351,cluster4
62,0.231481,0.87963,0.231481,0.37037,0.231481,0.833333,0.694444,0.185185,0.324074,0.324074,0.740741,1.064815,0.324074,0.185185,0.324074,0.416667,0.462963,0.37037,0.37037,0.324074,0.509259,0.138889,0.138889,0.324074,cluster3
63,0.283019,0.471698,0.660377,0.188679,0.283019,1.320755,0.283019,0.471698,0.09434,0.566038,0.471698,0.09434,0.377358,0.283019,0.566038,0.471698,0.09434,0.188679,0.660377,0.566038,0.471698,0.471698,0.377358,0.283019,cluster3
64,0,3,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster9
65,0,0.952381,0,0,0,0,0,0.952381,0.952381,0.47619,1.428571,0.952381,1.428571,0,0,0,0.952381,0.952381,0.47619,0,0.47619,0,0,0,cluster3
66,0.245283,0.367925,0.320755,0.386792,0.377358,0.443396,0.471698,0.537736,0.54717,0.5,0.386792,0.509434,0.669811,0.622642,0.688679,0.490566,0.556604,0.396226,0.301887,0.264151,0.254717,0.188679,0.188679,0.283019,cluster5
67,0.404412,0.183824,0.330882,0.441176,0.367647,0.220588,0.551471,0.367647,0.294118,0.367647,0.551471,0.257353,0.257353,0.367647,0.514706,0.257353,0.147059,0.588235,0.772059,0.661765,0.257353,0.477941,0.992647,0.367647,cluster5
68,0,1.428571,0,1.428571,0,0,1.428571,0,0,1.428571,0,0,0,0,1.428571,1.428571,0,0,0,0,0,0,0,1.428571,cluster1
69,0.036496,0.072993,0.182482,0.40146,0.40146,0,0.364964,0.291971,0.255474,0.328467,0.510949,0.474453,0.620438,0.583942,0.948905,0.583942,0.40146,0.875912,1.350365,0.255474,0.291971,0.182482,0.40146,0.182482,cluster3
70,0.120898,0.172712,0.172712,0.259067,0.259067,0.189983,0.172712,0.639033,0.414508,0.345423,0.310881,0.690846,0.621762,0.639033,0.621762,0.552677,0.811744,0.518135,0.587219,0.656304,0.621762,0.224525,0.259067,0.138169,cluster5
71,0.142857,1,0.714286,0.571429,1.142857,0.428571,0.571429,0.428571,0.571429,0.571429,0.285714,0.571429,0.857143,0,0.285714,0,0.428571,0.142857,0.142857,0.857143,0,0,0.142857,0.142857,cluster3
72,0.065789,0.065789,0.328947,0.131579,0.394737,0.592105,0.394737,0.131579,0.789474,0.855263,0.131579,0.855263,0.328947,0.460526,0.592105,0.460526,0.394737,0.394737,0.592105,0.592105,0.394737,0.394737,0.065789,0.592105,cluster5
73,0.352564,0.384615,0.384615,0.25641,0.224359,0.673077,0.608974,0.192308,0.352564,0.384615,0.128205,0.448718,0.608974,0.448718,0.641026,0.641026,0.544872,0.769231,0.544872,0.448718,0.25641,0.192308,0.25641,0.25641,cluster5
74,0.041899,0.139665,0.027933,0.139665,0.181564,0.335196,0.293296,0.097765,0.349162,0.335196,0.460894,0.544693,0.614525,0.642458,0.712291,0.796089,1.173184,1.061453,0.740223,0.405028,0.432961,0.251397,0.139665,0.083799,cluster5
75,0.217391,0.144928,0.144928,0.144928,0.144928,0.144928,0.072464,0.144928,0.217391,0.072464,0.217391,0.507246,0.362319,0.362319,0.217391,0.942029,1.594203,0.217391,0.507246,0.289855,0.869565,0.57971,0.724638,1.15942,cluster5
76,0.525101,0.201962,0.259665,0.369302,0.323139,0.398153,0.403924,0.386613,0.473168,0.473168,0.432776,0.473168,0.461627,0.305828,0.415465,0.496249,0.369302,0.421235,0.484709,0.461627,0.398153,0.450087,0.525101,0.490479,cluster4
77,0.647059,0.098039,0.215686,0.27451,0.294118,0.294118,0.470588,0.372549,0.333333,0.352941,0.647059,0.490196,0.313725,0.372549,0.509804,0.333333,0.294118,0.607843,0.470588,0.313725,0.72549,0.588235,0.352941,0.627451,cluster5
78,0.699088,0.334347,0.334347,0.486322,0.577508,0.334347,0.759878,0.395137,0.243161,0.303951,0.425532,0.577508,0.395137,0.395137,0.334347,0.547112,0.303951,0.425532,0.303951,0.486322,0.243161,0.364742,0.273556,0.455927,cluster4
79,1.038961,0.721501,0.36075,0.27417,0.31746,0.21645,0.23088,0.25974,0.25974,0.31746,0.25974,0.44733,0.505051,0.41847,0.11544,0.24531,0.27417,0.533911,0.46176,0.40404,0.49062,0.591631,0.649351,0.606061,cluster2
80,0.273973,0.136986,0.159817,0.159817,0.296804,0.136986,0.410959,0.273973,0.502283,0.410959,0.228311,0.388128,0.479452,0.776256,0.456621,0.684932,0.410959,0.479452,0.6621,0.502283,0.410959,0.570776,0.616438,0.570776,cluster5
81,0.187354,0.245902,0.222482,0.210773,0.491803,0.29274,0.562061,0.526932,0.316159,0.59719,0.620609,0.562061,0.538642,0.234192,0.444965,0.468384,0.480094,0.503513,0.737705,0.550351,0.316159,0.28103,0.269321,0.339578,cluster5
82,0.472915,0.662081,0.421324,0.421324,0.412726,0.326741,0.369733,0.44712,0.429923,0.309544,0.438521,0.412726,0.38693,0.455718,0.524506,0.352537,0.33534,0.352537,0.378332,0.343938,0.464316,0.395529,0.44712,0.438521,cluster4
83,0.08658,0.25974,0.17316,0.34632,0.21645,0.34632,0.519481,0.34632,0.606061,0.34632,0.25974,0.562771,0.649351,0.995671,0.4329,0.779221,0.909091,1.255411,0.38961,0,0.12987,0.12987,0.21645,0.04329,cluster3
84,0.193548,0.483871,0.258065,0.193548,0.193548,0.290323,0.387097,0.419355,0.387097,0.483871,0.387097,0.354839,0.741935,0.548387,0.387097,0.419355,0.580645,0.516129,0.354839,0.612903,0.354839,0.935484,0.258065,0.258065,cluster5
85,0.208668,0.288925,0.048154,0.11236,0.35313,0.497592,0.304976,0.385233,0.433387,0.561798,0.882825,0.545746,0.513644,0.561798,0.70626,0.401284,0.385233,0.513644,0.369181,0.497592,0.401284,0.401284,0.401284,0.224719,cluster5
86,0,0.224719,0.449438,0.505618,0.168539,0.617978,0.393258,0.224719,0.617978,0.730337,0.730337,0.337079,0.674157,0.393258,0.449438,0.337079,0.280899,0.337079,0.617978,0.393258,0.393258,0.561798,0.337079,0.224719,cluster5
87,0.209618,0.850801,0.616523,0.493218,0.591862,0.54254,0.591862,0.394575,0.27127,0.505549,0.480888,0.320592,0.406905,0.382244,0.419236,0.345253,0.332922,0.221948,0.369914,0.308261,0.320592,0.54254,0.25894,0.221948,cluster4
88,0.291262,0.582524,0.38835,0.776699,0.679612,0.582524,0.679612,0.38835,0.679612,0.194175,0.339806,0.291262,0.485437,0.194175,0.194175,0.339806,0.339806,0.436893,0.242718,0.436893,0.38835,0.242718,0.582524,0.242718,cluster4
89,0.410095,0.378549,0.22082,0.189274,0.473186,0.504732,0.44164,0.504732,0.630915,0.378549,0.662461,0.22082,0.378549,0.347003,0.378549,0.536278,0.410095,0.283912,0.473186,0.315457,0.504732,0.22082,0.788644,0.347003,cluster4
90,0.794897,0.147203,0.127576,0.16683,0.294406,0.284593,0.215898,0.255152,0.30422,0.314033,0.451423,0.490677,0.520118,0.539745,0.412169,0.451423,0.421982,0.392542,0.412169,0.412169,0.578999,0.569185,0.716389,0.726202,cluster5
91,0.39604,0.891089,0.29703,0.693069,0.39604,0.29703,0.39604,0.29703,0.19802,0,0.09901,0.09901,0.693069,0.891089,0.39604,0.49505,0.594059,0.693069,0.39604,0.39604,0.39604,0.39604,0.09901,0.49505,cluster3
92,0.20595,0.961098,0.800915,0.823799,0.640732,0.549199,0.434783,0.297483,0.297483,0.434783,0.343249,0.389016,0.343249,0.434783,0.228833,0.320366,0.366133,0.343249,0.160183,0.411899,0.320366,0.366133,0.251716,0.2746,cluster4
